,10090,10181,29073,6239,7227,7955,9544,9606,9685,9785,9913,9940,9986
OG0005210,['10090.ENSMUSP00000115320'],['10181.XP_004861962.1'],['29073.XP_008684129.1'],['6239.Y54G2A.75'],['7227.FBpp0077125'],['7955.ENSDARP00000120884'],['9544.ENSMMUP00000002155'],['9606.ENSP00000269601'],['9685.ENSFCAP00000000527'],['9785.ENSLAFP00000002649'],['9913.ENSBTAP00000018067'],['9940.ENSOARP00000004389'],['9986.ENSOCUP00000008401']
OG0007074,['10090.ENSMUSP00000034159'],['10181.XP_004842977.1'],['29073.XP_008700619.1'],[],[],['7955.ENSDARP00000100887'],['9544.ENSMMUP00000000909'],['9606.ENSP00000268483'],"['9685.ENSFCAP00000005412', '9685.ENSFCAP00000021601']",['9785.ENSLAFP00000013732'],['9913.ENSBTAP00000008329'],['9940.ENSOARP00000003989'],['9986.ENSOCUP00000007825']
OG0003558,['10090.ENSMUSP00000021158'],"['10181.XP_004857317.1', '10181.XP_004909838.1']",['29073.XP_008686267.1'],['6239.Y71H2AR.1'],"['7227.FBpp0070484', '7227.FBpp0303002']",['7955.ENSDARP00000075336'],['9544.ENSMMUP00000005049'],['9606.ENSP00000250101'],['9685.ENSFCAP00000017523'],['9785.ENSLAFP00000020535'],['9913.ENSBTAP00000029147'],['9940.ENSOARP00000001321'],['9986.ENSOCUP00000014228']
OG0000791,"['10090.ENSMUSP00000000828', '10090.ENSMUSP00000020484', '10090.ENSMUSP00000111269']","['10181.XP_004843316.1', '10181.XP_004844881.1']","['29073.XP_008695806.1', '29073.XP_008696024.1', '29073.XP_008703895.1']","['6239.C06G3.7', '6239.ZK637.10.2']","['7227.FBpp0071116', '7227.FBpp0078166']","['7955.ENSDARP00000064708', '7955.ENSDARP00000103469', '7955.ENSDARP00000117118']","['9544.ENSMMUP00000002286', '9544.ENSMMUP00000035902', '9544.ENSMMUP00000037287']","['9606.ENSP00000383365', '9606.ENSP00000434516']","['9685.ENSFCAP00000000907', '9685.ENSFCAP00000002468', '9685.ENSFCAP00000003359']","['9785.ENSLAFP00000002015', '9785.ENSLAFP00000011132', '9785.ENSLAFP00000012886']","['9913.ENSBTAP00000015662', '9913.ENSBTAP00000053158', '9913.ENSBTAP00000053996']","['9940.ENSOARP00000008633', '9940.ENSOARP00000018059', '9940.ENSOARP00000019194']","['9986.ENSOCUP00000003436', '9986.ENSOCUP00000007735', '9986.ENSOCUP00000008887']"
OG0005993,['10090.ENSMUSP00000025476'],['10181.XP_004858442.1'],['29073.XP_008690673.1'],['6239.Y54E10A.3'],['7227.FBpp0076804'],['7955.ENSDARP00000114555'],['9544.ENSMMUP00000016956'],['9606.ENSP00000217515'],['9685.ENSFCAP00000023583'],['9785.ENSLAFP00000008123'],['9913.ENSBTAP00000020880'],['9940.ENSOARP00000005425'],['9986.ENSOCUP00000023878']
OG0004115,['10090.ENSMUSP00000021471'],['10181.XP_004835600.1'],['29073.XP_008705839.1'],['6239.F46E10.9.1'],['7227.FBpp0072035'],"['7955.ENSDARP00000004160', '7955.ENSDARP00000070533']",['9544.ENSMMUP00000002540'],['9606.ENSP00000393316'],['9685.ENSFCAP00000002555'],['9785.ENSLAFP00000011086'],['9913.ENSBTAP00000014908'],['9940.ENSOARP00000022243'],['9986.ENSOCUP00000021367']
OG0009078,['10090.ENSMUSP00000107294'],['10181.XP_004869816.1'],['29073.XP_008692369.1'],['6239.C35D10.10'],['7227.FBpp0085660'],"['7955.ENSDARP00000022891', '7955.ENSDARP00000098029']",[],['9606.ENSP00000278422'],['9685.ENSFCAP00000015096'],['9785.ENSLAFP00000015896'],['9913.ENSBTAP00000041352'],['9940.ENSOARP00000011148'],[]
OG0001130,"['10090.ENSMUSP00000023774', '10090.ENSMUSP00000027368']","['10181.XP_004863028.1', '10181.XP_004864649.1']","['29073.XP_008688695.1', '29073.XP_008702800.1']","['6239.K11G12.3', '6239.K11G12.4a', '6239.Y69A2AR.4']",['7227.FBpp0297444'],['7955.ENSDARP00000033139'],"['9544.ENSMMUP00000017559', '9544.ENSMMUP00000039682']","['9606.ENSP00000233202', '9606.ENSP00000378364']","['9685.ENSFCAP00000002192', '9685.ENSFCAP00000004067']","['9785.ENSLAFP00000001310', '9785.ENSLAFP00000013940']","['9913.ENSBTAP00000019132', '9913.ENSBTAP00000020627', '9913.ENSBTAP00000049571', '9913.ENSBTAP00000052112']","['9940.ENSOARP00000018722', '9940.ENSOARP00000018737', '9940.ENSOARP00000018757', '9940.ENSOARP00000020985']","['9986.ENSOCUP00000006709', '9986.ENSOCUP00000013777']"
OG0006868,['10090.ENSMUSP00000005487'],['10181.XP_004845745.1'],['29073.XP_008703819.1'],['6239.B0024.9a'],"['7227.FBpp0072767', '7227.FBpp0085636']",['7955.ENSDARP00000046994'],['9544.ENSMMUP00000037043'],['9606.ENSP00000216185'],['9685.ENSFCAP00000001043'],['9785.ENSLAFP00000017292'],['9913.ENSBTAP00000000014'],['9940.ENSOARP00000020247'],[]
OG0000343,"['10090.ENSMUSP00000002989', '10090.ENSMUSP00000044578', '10090.ENSMUSP00000096957', '10090.ENSMUSP00000102710']","['10181.XP_004841735.1', '10181.XP_004852763.1', '10181.XP_004853982.1', '10181.XP_004873392.1', '10181.XP_004875680.1']","['29073.XP_008685833.1', '29073.XP_008699059.1', '29073.XP_008702407.1', '29073.XP_008705985.1']","['6239.F40F8.8b', '6239.T12D8.4']",[],"['7955.ENSDARP00000017762', '7955.ENSDARP00000052306', '7955.ENSDARP00000052420', '7955.ENSDARP00000069080', '7955.ENSDARP00000128041']","['9544.ENSMMUP00000004756', '9544.ENSMMUP00000008546', '9544.ENSMMUP00000009620', '9544.ENSMMUP00000009711']","['9606.ENSP00000222250', '9606.ENSP00000265138', '9606.ENSP00000268042', '9606.ENSP00000462521']","['9685.ENSFCAP00000006967', '9685.ENSFCAP00000016284', '9685.ENSFCAP00000020129', '9685.ENSFCAP00000023477']","['9785.ENSLAFP00000009209', '9785.ENSLAFP00000012226', '9785.ENSLAFP00000014205', '9785.ENSLAFP00000019524']","['9913.ENSBTAP00000002229', '9913.ENSBTAP00000009364', '9913.ENSBTAP00000024295', '9913.ENSBTAP00000026724']","['9940.ENSOARP00000010847', '9940.ENSOARP00000015031', '9940.ENSOARP00000017824', '9940.ENSOARP00000022201']","['9986.ENSOCUP00000002614', '9986.ENSOCUP00000003780', '9986.ENSOCUP00000008386']"
OG0004529,['10090.ENSMUSP00000052912'],['10181.XP_004870016.1'],['29073.XP_008686251.1'],"['6239.B0403.4', '6239.Y49E10.4']",['7227.FBpp0080395'],['7955.ENSDARP00000027662'],['9544.ENSMMUP00000016899'],['9606.ENSP00000385385'],['9685.ENSFCAP00000008583'],['9785.ENSLAFP00000026895'],['9913.ENSBTAP00000002508'],['9940.ENSOARP00000016820'],['9986.ENSOCUP00000011180']
